instant,yr,holiday,workingday,atemp,hum,windspeed,cnt,Date,season_2,season_3,season_4,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weathersit_2,weathersit_3
32,0,0,1,0.23453,0.829565,0.053213,1360,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
33,0,0,1,0.254417,0.775417,0.264308,1526,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
34,0,0,1,0.177878,0.437826,0.277752,1550,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
35,0,0,1,0.228587,0.585217,0.127839,1708,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
36,0,0,0,0.243058,0.929167,0.161079,1005,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
37,0,0,0,0.291671,0.568333,0.1418,1623,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,0,0,1,0.303658,0.738333,0.0454083,1712,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
39,0,0,1,0.198246,0.537917,0.36195,1530,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
40,0,0,1,0.144283,0.494783,0.188839,1605,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
41,0,0,1,0.149548,0.437391,0.221935,1538,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
42,0,0,1,0.213509,0.506364,0.10855,1746,11,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
43,0,0,0,0.232954,0.544167,0.203367,1472,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
44,0,0,0,0.324113,0.457391,0.260883,1589,13,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,0,0,1,0.39835,0.375833,0.417908,1913,14,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
46,0,0,1,0.254274,0.314348,0.291374,1815,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47,0,0,1,0.3162,0.423478,0.251791,2115,16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
48,0,0,1,0.428658,0.505,0.230104,2475,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
49,0,0,1,0.511983,0.516667,0.264925,2927,18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
50,0,0,0,0.391404,0.187917,0.507463,1635,19,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
51,0,0,0,0.27733,0.407826,0.223235,1812,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,0,1,0,0.284075,0.605,0.307846,1107,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
53,0,0,1,0.186033,0.577778,0.195683,1450,22,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
54,0,0,1,0.245717,0.423043,0.094113,1917,23,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
55,0,0,1,0.289191,0.697391,0.250496,1807,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
56,0,0,1,0.350461,0.712174,0.346539,1461,25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
57,0,0,0,0.282192,0.537917,0.186571,1969,26,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
58,0,0,0,0.351109,0.68,0.125248,2402,27,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,0,0,1,0.400118,0.876364,0.289686,1446,28,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
60,0,0,1,0.263879,0.535,0.216425,1851,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
61,0,0,1,0.320071,0.449583,0.307833,2134,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
62,0,0,1,0.200133,0.318333,0.225754,1685,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
63,0,0,1,0.255679,0.610417,0.203346,1944,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
64,0,0,0,0.378779,0.789167,0.251871,2077,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
65,0,0,0,0.366252,0.948261,0.343287,605,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
66,0,0,1,0.238461,0.551304,0.341352,1872,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
67,0,0,1,0.3024,0.420833,0.12065,2133,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
68,0,0,1,0.286608,0.775417,0.22015,1891,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
69,0,0,1,0.385668,0.0,0.261877,623,10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
70,0,0,1,0.305,0.649565,0.23297,1977,11,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
71,0,0,0,0.32575,0.594583,0.220775,2132,12,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
72,0,0,0,0.380091,0.527391,0.270604,2417,13,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,0,0,1,0.332,0.496957,0.136926,2046,14,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
74,0,0,1,0.318178,0.655652,0.184309,2056,15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
75,0,0,1,0.36693,0.776522,0.203117,2192,16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
76,0,0,1,0.410333,0.602917,0.209579,2744,17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
77,0,0,1,0.527009,0.525217,0.231017,3239,18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
78,0,0,0,0.466525,0.379167,0.368167,3117,19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
79,0,0,0,0.32575,0.47375,0.207721,2471,20,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,0,0,1,0.409735,0.737391,0.288783,2077,21,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
81,0,0,1,0.440642,0.624583,0.22575,2703,22,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
82,0,0,1,0.337939,0.839565,0.234261,2121,23,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
83,0,0,1,0.270833,0.805833,0.243787,1865,24,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
84,0,0,1,0.256312,0.495,0.230725,2210,25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
85,0,0,0,0.257571,0.394167,0.209571,2496,26,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
86,0,0,0,0.250339,0.493913,0.1843,1693,27,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
87,0,0,1,0.257574,0.302174,0.212204,2028,28,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
88,0,0,1,0.292908,0.314167,0.226996,2425,29,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
89,0,0,1,0.29735,0.646667,0.172888,1536,30,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
90,0,0,1,0.257575,0.918333,0.217646,1685,31,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
91,0,0,1,0.283454,0.68625,0.258708,2227,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
92,0,0,0,0.315637,0.65375,0.197146,2252,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
93,0,0,0,0.378767,0.48,0.182213,3249,3,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,0,0,1,0.542929,0.42625,0.385571,3115,4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
95,0,0,1,0.39835,0.642083,0.388067,1795,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
96,0,0,1,0.387608,0.470833,0.263063,2808,6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
97,0,0,1,0.433696,0.602917,0.162312,3141,7,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
98,0,0,1,0.324479,0.83625,0.226992,1471,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
99,0,0,0,0.341529,0.8775,0.133083,2455,9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
100,0,0,0,0.426737,0.8575,0.146767,2895,10,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
101,0,0,1,0.565217,0.716956,0.324474,3348,11,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
102,0,0,1,0.493054,0.739167,0.274879,2034,12,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
103,0,0,1,0.417283,0.819167,0.250617,2162,13,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
104,0,0,1,0.462742,0.540417,0.1107,3267,14,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
105,0,1,0,0.441913,0.67125,0.226375,3126,15,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
106,0,0,0,0.425492,0.888333,0.340808,795,16,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
107,0,0,0,0.445696,0.479583,0.303496,3744,17,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,0,0,1,0.503146,0.5425,0.163567,3429,18,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
109,0,0,1,0.489258,0.665833,0.157971,3204,19,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
110,0,0,1,0.564392,0.614167,0.241925,3944,20,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
111,0,0,1,0.453892,0.407083,0.325258,4189,21,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
112,0,0,1,0.321954,0.729583,0.219521,1683,22,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
113,0,0,0,0.450121,0.887917,0.230725,4036,23,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
114,0,0,0,0.551763,0.810833,0.192175,4191,24,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
115,0,0,1,0.5745,0.776667,0.185333,4073,25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
116,0,0,1,0.594083,0.729167,0.3265,4400,26,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
117,0,0,1,0.575142,0.835417,0.3122,3872,27,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
118,0,0,1,0.578929,0.700833,0.320908,4058,28,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
119,0,0,1,0.497463,0.457083,0.240063,4595,29,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
120,0,0,0,0.464021,0.503333,0.235075,5312,30,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
121,0,0,0,0.448204,0.762083,0.106354,3351,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
122,0,0,1,0.532833,0.73,0.183454,4401,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
123,0,0,1,0.582079,0.697083,0.342667,4451,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
124,0,0,1,0.40465,0.737083,0.328996,2633,4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
125,0,0,1,0.441917,0.444167,0.295392,4433,5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
126,0,0,1,0.474117,0.59,0.228246,4608,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
127,0,0,0,0.512621,0.54125,0.16045,4714,7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
128,0,0,0,0.518933,0.631667,0.0746375,4333,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,0,0,1,0.525246,0.58875,0.176,4362,9,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
130,0,0,1,0.522721,0.489167,0.115671,4803,10,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
131,0,0,1,0.5284,0.632917,0.120642,4182,11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
132,0,0,1,0.523363,0.7475,0.189667,4864,12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
133,0,0,1,0.4943,0.863333,0.179725,4105,13,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
134,0,0,0,0.500629,0.9225,0.13495,3409,14,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
135,0,0,0,0.536,0.867083,0.152979,4553,15,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
136,0,0,1,0.550512,0.787917,0.126871,3958,16,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
137,0,0,1,0.538529,0.837917,0.277354,4123,17,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
138,0,0,1,0.527158,0.87,0.201492,3855,18,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
139,0,0,1,0.510742,0.829583,0.108213,4575,19,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
140,0,0,1,0.529042,0.719583,0.125013,4917,20,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
141,0,0,0,0.571975,0.626667,0.12065,5805,21,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
142,0,0,0,0.5745,0.749583,0.148008,4660,22,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,0,0,1,0.590296,0.81,0.233842,4274,23,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
144,0,0,1,0.604813,0.740833,0.207092,4492,24,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
145,0,0,1,0.615542,0.69625,0.154233,4978,25,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
146,0,0,1,0.654688,0.6775,0.199642,4677,26,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
147,0,0,1,0.637008,0.65375,0.240679,4679,27,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
148,0,0,0,0.612379,0.729583,0.230092,4758,28,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
149,0,0,0,0.61555,0.81875,0.213938,4788,29,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,0,1,0,0.671092,0.685,0.131225,4098,30,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
151,0,0,1,0.725383,0.636667,0.111329,3982,31,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
152,0,0,1,0.720967,0.677083,0.207092,3974,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
153,0,0,1,0.643942,0.305,0.292287,4968,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
154,0,0,1,0.587133,0.354167,0.253121,5312,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
155,0,0,0,0.594696,0.45625,0.123142,5342,4,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
156,0,0,0,0.616804,0.6525,0.138692,4906,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
157,0,0,1,0.621858,0.6,0.121896,4548,6,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
158,0,0,1,0.65595,0.597917,0.187808,4833,7,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
159,0,0,1,0.727279,0.622083,0.136817,4401,8,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
160,0,0,1,0.757579,0.568333,0.149883,3915,9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
161,0,0,1,0.703292,0.605,0.140554,4586,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
162,0,0,0,0.678038,0.654583,0.15485,4966,11,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
163,0,0,0,0.643325,0.747917,0.163567,4460,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
164,0,0,1,0.601654,0.494583,0.30535,5020,13,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
165,0,0,1,0.591546,0.507083,0.269283,4891,14,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
166,0,0,1,0.587754,0.471667,0.167912,5180,15,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
167,0,0,1,0.595346,0.688333,0.206471,3767,16,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
168,0,0,1,0.600383,0.735833,0.143029,4844,17,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
169,0,0,0,0.643954,0.670417,0.119408,5119,18,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
170,0,0,0,0.645846,0.666667,0.102,4744,19,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
171,0,0,1,0.595346,0.74625,0.155475,4010,20,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
172,0,0,1,0.637646,0.770417,0.171025,4835,21,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
173,0,0,1,0.693829,0.7075,0.172262,4507,22,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
174,0,0,1,0.693833,0.703333,0.238804,4790,23,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
175,0,0,1,0.656583,0.573333,0.222025,4991,24,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
176,0,0,0,0.643313,0.483333,0.209571,5202,25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
177,0,0,0,0.637629,0.513333,0.0945333,5305,26,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,0,0,1,0.637004,0.658333,0.107588,4708,27,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
179,0,0,1,0.692558,0.634167,0.144283,4648,28,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
180,0,0,1,0.654688,0.497917,0.261821,5225,29,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
181,0,0,1,0.637008,0.434167,0.185312,5515,30,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
182,0,0,1,0.652162,0.39625,0.102608,5362,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
183,0,0,0,0.667308,0.444583,0.115062,5119,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
184,0,0,0,0.668575,0.6825,0.228858,4649,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
185,0,1,0,0.665417,0.637917,0.0814792,6043,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
186,0,0,1,0.696338,0.590417,0.126258,4665,5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
187,0,0,1,0.685633,0.743333,0.149883,4629,6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
188,0,0,1,0.686871,0.65125,0.1592,4592,7,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
189,0,0,1,0.670483,0.757917,0.225129,4040,8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
190,0,0,0,0.664158,0.609167,0.167912,5336,9,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
